"","I","L","SNR","ci_width","samp","t.rho","seeds","samp.1"
"223",100,50,0.1,1.23872166507331,0.388253777333387,0.5,551539,0.388253777333387
"224",200,100,0.2,0.35455768262876,0.275546802045308,0,334679,0.275546802045308
"225",100,100,0.2,0.359149596241077,0.2969116684061,0.5,651921,0.2969116684061
"226",200,100,0.2,0.302257399375947,0.244939786246955,0.5,399823,0.244939786246955
"227",100,100,0.1,0.775848336943591,0.392271086462485,0,611115,0.392271086462485
"228",200,100,0.1,0.59994506289199,0.276873585710369,0,617474,0.276873585710369
"229",100,100,0.1,0.640613902454432,0.362070278491389,0.5,249316,0.362070278491389
"230",200,100,0.1,0.489509693592848,0.264367539794053,0.5,892071,0.264367539794053
"231",100,100,0.2,0.491316002133281,0.391342571456356,0,91043,0.391342571456356
"232",200,100,0.2,0.34043786580789,0.277393399516025,0,579355,0.277393399516025
"233",100,100,0.2,0.432936066392874,0.357582817251672,0.5,159248,0.357582817251672
"234",200,50,0.1,0.621357654032409,0.265071219410929,0.5,69961,0.265071219410929
"235",200,100,0.2,0.266373615428177,0.221266905679366,0.5,941900,0.221266905679366
"236",100,100,0.1,0.883379607558987,0.387605746717977,0,128599,0.387605746717977
"237",200,100,0.1,0.558328607522607,0.276806039696836,0,43420,0.276806039696836
"238",100,100,0.1,0.606121077402805,0.375405261066508,0.5,251188,0.375405261066508
"239",200,100,0.1,0.437819605520725,0.247297556133835,0.5,250693,0.247297556133835
"240",100,100,0.2,0.491231783984575,0.392433404883162,0,12387,0.392433404883162
"241",200,100,0.2,0.333713362956784,0.277429467236317,0,647375,0.277429467236317
"242",100,100,0.2,0.382500512544027,0.306158978281883,0.5,989999,0.306158978281883
"243",200,100,0.2,0.256026019625755,0.219708035211659,0.5,129801,0.219708035211659
"244",100,100,0.1,0.778217804488872,0.392802457079969,0,906554,0.392802457079969
"245",100,50,0.2,0.606100741829644,0.387948969059654,0,875130,0.387948969059654
"246",200,100,0.1,0.575536614200028,0.277408370158717,0,971264,0.277408370158717
"247",100,100,0.1,0.703629028684488,0.380792317852165,0.5,595242,0.380792317852165
"248",200,100,0.1,0.49265054109933,0.268143615617072,0.5,971691,0.268143615617072
"249",100,100,0.2,0.500956361060582,0.392319328471087,0,755860,0.392319328471087
"250",200,100,0.2,0.34368657515544,0.277481849360882,0,681363,0.277481849360882
"251",100,100,0.2,0.391817197091045,0.333193170375286,0.5,705718,0.333193170375286
"252",200,100,0.2,0.255662631424943,0.21567655367026,0.5,581479,0.21567655367026
"253",100,100,0.1,0.867609062366878,0.377942115286927,0,900843,0.377942115286927
"254",200,100,0.1,0.555927854090971,0.276917232768269,0,674245,0.276917232768269
"255",100,100,0.1,0.981206522588686,0.392036140339752,0.5,765278,0.392036140339752
"256",200,50,0.2,0.40399135864699,0.277329973627791,0,718522,0.277329973627791
"257",200,100,0.1,0.537489009467304,0.273163302277686,0.5,162950,0.273163302277686
"258",100,100,0.2,0.451641812718981,0.392503265763845,0,609519,0.392503265763845
"259",200,100,0.2,0.343401385984668,0.277469895100868,0,418640,0.277469895100868
"260",100,100,0.2,0.429223513467092,0.341750021917229,0.5,977023,0.341750021917229
"261",200,100,0.2,0.257027421237004,0.22359799300983,0.5,304462,0.22359799300983
"262",100,100,0.1,0.694391019076278,0.39279458118,0,286651,0.39279458118
"263",200,100,0.1,0.610881205926938,0.277477142837731,0,43076,0.277477142837731
"264",100,100,0.1,0.851897716504327,0.381934896964819,0.5,676275,0.381934896964819
"265",200,100,0.1,0.444733590552767,0.256988629436724,0.5,277636,0.256988629436724
"266",100,100,0.2,0.482349667756076,0.390622883342106,0,363818,0.390622883342106
"267",100,50,0.2,0.563527387585926,0.384179058751142,0.5,374766,0.384179058751142
"268",200,100,0.2,0.33878184158532,0.277225461999993,0,606593,0.277225461999993
"269",100,100,0.2,0.38711047073316,0.322038436467102,0.5,310888,0.322038436467102
"270",200,100,0.2,0.282171750422488,0.237926350153076,0.5,481511,0.237926350153076
"271",100,100,0.1,0.810033556414227,0.390897900905234,0,764053,0.390897900905234
"272",200,100,0.1,0.606053114115193,0.277236770472353,0,231894,0.277236770472353
"273",100,100,0.1,0.751665027817709,0.366391174312543,0.5,756691,0.366391174312543
"274",200,100,0.1,0.485289462294054,0.264460095000749,0.5,503430,0.264460095000749
"275",100,100,0.2,0.485810489459638,0.392592954236024,0,191113,0.392592954236024
"276",200,100,0.2,0.345363586896032,0.277090420966776,0,566111,0.277090420966776
"277",100,100,0.2,0.361735994728968,0.318044978777787,0.5,773398,0.318044978777787
"278",200,50,0.2,0.372051908118782,0.250091168483135,0.5,930848,0.250091168483135
"279",200,100,0.2,0.284767958410832,0.246495338440088,0.5,801550,0.246495338440088
"280",100,100,0.1,0.718454828362946,0.38914730588201,0,546318,0.38914730588201
"281",200,100,0.1,0.522028659539876,0.276705895411563,0,974285,0.276705895411563
"282",100,100,0.1,0.699617688324674,0.385314573007158,0.5,903609,0.385314573007158
"283",200,100,0.1,0.43694002900019,0.248987568445605,0.5,577321,0.248987568445605
"284",100,100,0.2,0.4646945496874,0.376256824288186,0,94686,0.376256824288186
"285",200,100,0.2,0.343791623468343,0.2772128300679,0,639196,0.2772128300679
"286",100,100,0.2,0.394477902097287,0.308584508210174,0.5,281700,0.308584508210174
"287",200,100,0.2,0.287834166789414,0.238753373811383,0.5,986267,0.238753373811383
"288",100,100,0.1,0.856520141292894,0.392825129464427,0,662017,0.392825129464427
"289",100,50,0.1,0.964933465464111,0.392415941757462,0,382568,0.392415941757462
"290",200,100,0.1,0.503815093711013,0.277444804560726,0,409592,0.277444804560726
"291",100,100,0.1,0.579647339223001,0.355398751464721,0.5,800639,0.355398751464721
"292",200,100,0.1,0.505375363156366,0.257700552158666,0.5,460189,0.257700552158666
"293",100,100,0.2,0.485076875925355,0.392484354693587,0,327044,0.392484354693587
"294",200,100,0.2,0.337093765271145,0.277136701226339,0,338838,0.277136701226339
"295",100,100,0.2,0.380547341550308,0.323133768375029,0.5,454071,0.323133768375029
"296",200,100,0.2,0.250428364791965,0.213602972178278,0.5,406407,0.213602972178278
"297",100,100,0.1,0.814865420474855,0.391759295254321,0,101542,0.391759295254321
"298",200,100,0.1,0.603366292875108,0.27747707567309,0,106068,0.27747707567309
"299",100,100,0.1,0.708695341847606,0.375732016459608,0.5,340268,0.375732016459608
"300",200,50,0.1,0.969779374399704,0.277417741960485,0,739316,0.277417741960485
"301",200,100,0.1,0.602428863837363,0.256015012477084,0.5,83293,0.256015012477084
"302",100,100,0.2,0.450008583633707,0.391581685698906,0,552224,0.391581685698906
"303",200,100,0.2,0.33685337854839,0.277133961451157,0,720580,0.277133961451157
"304",100,100,0.2,0.382966919200214,0.320099067290828,0.5,854732,0.320099067290828
"305",200,100,0.2,0.28126085183089,0.234423965672674,0.5,895353,0.234423965672674
"306",100,100,0.1,0.89012373347937,0.392653325728323,0,778673,0.392653325728323
"307",200,100,0.1,0.541476615500521,0.275456707960409,0,948404,0.275456707960409
"308",100,100,0.1,0.672157542696547,0.35512376869066,0.5,909319,0.35512376869066
"309",200,100,0.1,0.57520180873188,0.266803961453658,0.5,275884,0.266803961453658
"310",100,100,0.2,0.487172901499279,0.392468140936647,0,729935,0.392468140936647
"311",100,50,0.1,1.63370455549251,0.392780271142804,0.5,97921,0.392780271142804
"312",200,100,0.2,0.344954750438912,0.275285706463423,0,803774,0.275285706463423
"313",100,100,0.2,0.434757744968361,0.359053367628114,0.5,871796,0.359053367628114
"314",200,100,0.2,0.277517451500468,0.227541682579199,0.5,204056,0.227541682579199
"315",100,100,0.1,0.936110332622382,0.390957348038834,0,187069,0.390957348038834
"316",200,100,0.1,0.568210309406714,0.277417803810517,0,260708,0.277417803810517
"317",100,100,0.1,1.05855916709989,0.388762225489236,0.5,610987,0.388762225489236
"318",200,100,0.1,0.589014879296883,0.271576972122145,0.5,317777,0.271576972122145
"319",100,100,0.2,0.489591138611591,0.392788383818149,0,529345,0.392788383818149
"320",200,100,0.2,0.333065213647854,0.27689030605902,0,883074,0.27689030605902
"321",100,100,0.2,0.408652768782005,0.350843989626878,0.5,36891,0.350843989626878
"322",200,50,0.2,0.428807894217796,0.277114628019913,0,475331,0.277114628019913
"323",200,50,0.1,0.685358289513692,0.26658528865446,0.5,79943,0.26658528865446
"324",200,100,0.2,0.265684888789596,0.223807156239362,0.5,921814,0.223807156239362
"325",100,100,0.1,0.765442775764633,0.392448806805576,0,465031,0.392448806805576
"326",200,100,0.1,0.477056537473615,0.276865333057444,0,838369,0.276865333057444
"327",100,100,0.1,0.734350386351603,0.386905779171868,0.5,336635,0.386905779171868
"328",200,100,0.1,0.530584070418515,0.270429680461802,0.5,184570,0.270429680461802
"329",100,100,0.2,0.482272262086579,0.392150560153965,0,666931,0.392150560153965
"330",200,100,0.2,0.339169703525409,0.273995387264158,0,441811,0.273995387264158
"331",100,100,0.2,0.385818584297569,0.332105279141886,0.5,351390,0.332105279141886
"332",200,100,0.2,0.271349028224272,0.230103414712483,0.5,309342,0.230103414712483
"333",100,100,0.1,0.820655458986675,0.391834696121374,0,151092,0.391834696121374
"334",100,50,0.2,0.529949845478584,0.392037592416286,0,656967,0.392037592416286
"335",200,100,0.1,0.626895068048187,0.277090105891186,0,5208,0.277090105891186
"336",100,100,0.1,0.561503108256331,0.344971773040586,0.5,281886,0.344971773040586
